,Unnamed: 0,full_name,selling_price,new_price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats,model_name
0,0,Maruti,1.2,,2012,Individual,120000,First Owner,Petrol,Manual,19.7,Engine796 CC,Max Power46.3 bhp,Seats5,Alto Std
1,1,Hyundai,5.5,New Car (On-Road Price) : Rs.7.11-7.48 Lakh*,2016,Individual,20000,First Owner,Petrol,Manual,18.9,Engine1197 CC,Max Power82 bhp,Seats5,Grand i10
2,2,Hyundai,2.15,,2010,Individual,60000,First Owner,Petrol,Manual,17.0,Engine1197 CC,Max Power80 bhp,Seats5,i20 Asta
3,3,Maruti,2.26,,2012,Individual,37000,First Owner,Petrol,Manual,20.92,Engine998 CC,Max Power67.1 bhp,Seats5,Alto K10
4,4,Ford,5.7,New Car (On-Road Price) : Rs.10.14-13.79 Lakh*,2015,Dealer,30000,First Owner,Diesel,Manual,22.77,Engine1498 CC,Max Power98.59 bhp,Seats5,Ecosport 2015-2021
5,5,Maruti,3.5,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2013,Individual,35000,First Owner,Petrol,Manual,18.9,Engine998 CC,Max Power67.1 bhp,Seats5,Wagon R
6,6,Hyundai,3.15,New Car (On-Road Price) : Rs.6.54-6.63 Lakh*,2013,Dealer,40000,First Owner,Petrol,Manual,20.36,Engine1197 CC,Max Power78.9 bhp,Seats5,i10 Sportz
7,7,Maruti,4.1,New Car (On-Road Price) : Rs.5.26-7.01 Lakh*,2018,Dealer,17512,First Owner,Petrol,Manual,20.51,Engine998 CC,Max Power67.04 bhp,Seats5,Wagon R
8,8,Hyundai,10.5,New Car (On-Road Price) : Rs.7.70-13.02 Lakh*,2019,Individual,20000,First Owner,Petrol,Automatic,18.15,Engine998 CC,Max Power118.35 bhp,Seats5,Venue SX
9,9,Mahindra,5.75,,2017,Dealer,70000,First Owner,Diesel,Manual,18.49,Engine1493 CC,Max Power100 bhp,Seats7,TUV 300
10,10,Tata,3.05,,2015,Individual,50000,First Owner,Diesel,Manual,19.09,Engine1405 CC,Max Power69.01 bhp,Seats5,Indigo LX
11,11,Renault,11.5,,2019,Individual,18000,First Owner,Diesel,Manual,20.37,Engine1461 CC,Max Power108.49 bhp,Seats5,Captur Platine
12,12,Maruti,5.11,New Car (On-Road Price) : Rs.6.35-9.27 Lakh*,2017,Dealer,28321,First Owner,Petrol,Manual,16.6,Engine1197 CC,Max Power85 bhp,Seats5,Swift VXI
13,13,Nissan,4.1,,2016,Dealer,27000,First Owner,Petrol,Automatic,19.34,Engine1198 CC,Max Power76 bhp,Seats5,Micra XL
14,14,Hyundai,4.25,New Car (On-Road Price) : Rs.13.09-18.29 Lakh*,2013,Dealer,65278,First Owner,Diesel,Manual,22.32,Engine1582 CC,Max Power126.32 bhp,Seats5,Verna 1.6
15,15,Renault,7.5,,2016,Individual,50000,First Owner,Diesel,Manual,19.64,Engine1461 CC,Max Power108.45 bhp,Seats5,Duster 110PS
16,16,Mini,32.5,,2017,Dealer,6000,First Owner,Petrol,Automatic,14.41,Engine1998 CC,Max Power189.08 bhp,Seats5,Cooper Cooper
17,17,Maruti,6.5,,2016,Dealer,76000,First Owner,Diesel,Manual,28.09,Engine1248 CC,Max Power88.5 bhp,Seats5,Ciaz ZDi
18,18,Maruti,6.27,,2016,Individual,20000,First Owner,Diesel,Manual,25.2,Engine1248 CC,Max Power74 bhp,Seats5,Swift VDI
19,19,Mercedes-Benz,14.25,New Car (On-Road Price) : Rs.51.30-64.08 Lakh*,2014,Dealer,65000,First Owner,Diesel,Automatic,19.27,Engine2143 CC,Max Power170 bhp,Seats5,C-Class C
20,20,Maruti,4.25,,2014,Dealer,62200,First Owner,Diesel,Manual,28.4,Engine1248 CC,Max Power74 bhp,Seats5,Swift VDI
21,21,Toyota,6.05,,2013,Individual,110000,First Owner,Diesel,Manual,12.99,Engine2494 CC,Max Power100.6 bhp,Seats8,Innova 2.5
22,22,Maruti,6.0,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,2015,Individual,20000,First Owner,Petrol,Manual,21.4,Engine1197 CC,Max Power83.1 bhp,Seats5,Baleno Zeta
23,23,Maruti,5.75,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,2016,Individual,40000,First Owner,Petrol,Manual,20.85,Engine1197 CC,Max Power83.14 bhp,Seats5,Swift Dzire
24,24,Fiat,2.6,,2012,Individual,97000,First Owner,Diesel,Manual,17.8,Engine1248 CC,Max Power76 bhp,Seats5,Grande Punto
25,25,Volkswagen,4.25,New Car (On-Road Price) : Rs.10.12-16.08 Lakh*,2013,Dealer,47000,First Owner,Petrol,Manual,16.09,Engine1598 CC,Max Power103.2 bhp,Seats5,Vento 1.6
26,26,Maruti,2.3,,2013,Dealer,25000,First Owner,Petrol,Manual,20.92,Engine998 CC,Max Power67.1 bhp,Seats5,Alto K10
27,27,Hyundai,12.25,New Car (On-Road Price) : Rs.10.95-18.30 Lakh*,2019,Individual,15000,First Owner,Diesel,Manual,19.67,Engine1582 CC,Max Power126.2 bhp,Seats5,Creta 1.6
28,28,Mahindra,3.75,,2010,Dealer,56823,First Owner,Diesel,Manual,14.02,Engine2179 CC,Max Power118.3 bhp,Seats8,Xylo H9
29,29,Honda,7.5,New Car (On-Road Price) : Rs.12.36-16.57 Lakh*,2015,Individual,50000,First Owner,Petrol,Manual,17.4,Engine1497 CC,Max Power117.3 bhp,Seats5,City i
30,30,Mahindra,3.5,New Car (On-Road Price) : Rs.9.05-10.69 Lakh*,2011,Individual,25000,First Owner,Diesel,Manual,13.6,Engine2523 CC,Max Power63 bhp,Seats7,Bolero SLE
31,31,Maruti,6.0,,2015,Individual,90000,First Owner,Diesel,Manual,26.59,Engine1248 CC,Max Power74 bhp,Seats5,Swift Dzire
32,32,Maruti,3.9,,2013,Dealer,45000,First Owner,Diesel,Manual,26.59,Engine1248 CC,Max Power74 bhp,Seats5,Swift Dzire
33,33,Honda,1.45,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2007,Dealer,77253,First Owner,Petrol,Manual,17.7,Engine1497 CC,Max Power78 bhp,Seats5,City 2017-2020
34,34,Hyundai,7.0,,2018,Individual,25000,First Owner,Petrol,Manual,17.19,Engine1197 CC,Max Power81.86 bhp,Seats5,i20 Active
35,35,Toyota,11.5,New Car (On-Road Price) : Rs.37.47-43.30 Lakh*,2013,Individual,110000,First Owner,Diesel,Manual,13.0,Engine2982 CC,Max Power168.5 bhp,Seats7,Fortuner 4x2
36,36,Renault,3.4,New Car (On-Road Price) : Rs.3.81-6.29 Lakh*,2017,Individual,30000,First Owner,Petrol,Manual,23.01,Engine999 CC,Max Power67 bhp,Seats5,KWID Climber
37,37,Honda,4.65,New Car (On-Road Price) : Rs.7.04-9.90 Lakh*,2016,Dealer,39993,First Owner,Petrol,Manual,18.6,Engine1199 CC,Max Power88.76 bhp,Seats5,Amaze S
38,38,Hyundai,1.25,,2009,Individual,80000,First Owner,Petrol,Manual,17.92,Engine1086 CC,Max Power62.1 bhp,Seats5,Santro Xing
39,39,Mahindra,6.0,New Car (On-Road Price) : Rs.16.59-23.36 Lakh*,2012,Individual,185000,First Owner,Diesel,Manual,15.1,Engine2179 CC,Max Power140 bhp,Seats7,XUV500 W8
40,40,Maruti,3.8,,2013,Individual,90000,First Owner,Diesel,Manual,23.4,Engine1248 CC,Max Power74 bhp,Seats5,Swift Dzire
41,41,Mahindra,4.0,,2009,Individual,60000,First Owner,Diesel,Manual,14.0,Engine2498 CC,Max Power112 bhp,Seats8,Xylo E8
42,42,Chevrolet,3.0,,2014,Individual,90000,First Owner,Diesel,Manual,22.1,Engine1248 CC,Max Power74 bhp,Seats5,Sail 1.3
43,43,Hyundai,5.0,,2015,Individual,20000,First Owner,Petrol,Manual,19.1,Engine1197 CC,Max Power82 bhp,Seats5,Xcent 1.2
44,44,Hyundai,8.5,,2018,Individual,15000,First Owner,Diesel,Manual,22.54,Engine1396 CC,Max Power88.73 bhp,Seats5,i20 1.4
45,45,Hyundai,5.98,New Car (On-Road Price) : Rs.7.63-12.66 Lakh*,2018,Individual,40000,First Owner,Petrol,Manual,18.6,Engine1197 CC,Max Power81.83 bhp,Seats5,i20 1.2
46,46,Honda,7.0,New Car (On-Road Price) : Rs.12.68-16.80 Lakh*,2015,Dealer,31180,First Owner,Petrol,Automatic,18.0,Engine1497 CC,Max Power117.3 bhp,Seats5,City i
47,47,Mahindra,9.0,,2018,Individual,40000,First Owner,Diesel,Automatic,18.49,Engine1493 CC,Max Power100 bhp,Seats7,TUV 300
48,48,Maruti,0.75,,2004,Individual,50000,First Owner,Petrol,Manual,16.1,Engine796 CC,Max Power37 bhp,Seats4,800 Std
49,49,Tata,3.0,,2015,Individual,58000,First Owner,Diesel,Manual,19.09,Engine1396 CC,Max Power69 bhp,Seats5,Indigo LS
50,50,Maruti,4.1,,2014,Dealer,56000,First Owner,Diesel,Manual,23.4,Engine1248 CC,Max Power74 bhp,Seats5,Swift Dzire
51,51,Fiat,3.0,,2011,Individual,93000,First Owner,Diesel,Manual,20.5,Engine1248 CC,Max Power91.7 bhp,Seats5,Grande Punto
52,52,Ambassador,2.25,,2010,Dealer,86000,First Owner,Petrol,Manual,12.2,Engine1817 CC,Max Power75 bhp,Seats5,Avigo 1800
53,53,Maruti,3.0,,2011,Individual,120000,First Owner,Diesel,Manual,17.8,Engine1248 CC,,Seats5,Swift VDI
54,54,Maruti,5.9,New Car (On-Road Price) : Rs.6.68-10.42 Lakh*,2016,Dealer,52427,First Owner,Petrol,Automatic,21.4,Engine1197 CC,Max Power83.1 bhp,Seats5,Baleno Zeta
55,55,Mahindra,8.5,New Car (On-Road Price) : Rs.8.93-10.47 Lakh*,2020,Individual,40000,First Owner,Diesel,Manual,21.0,Engine1498 CC,Max Power74.96 bhp,Seats7,Bolero B6
56,56,Tata,1.08,,2011,Individual,70000,First Owner,Petrol,Manual,26.0,Engine624 CC,Max Power35 bhp,Seats4,Nano Cx
57,57,Mahindra,5.5,New Car (On-Road Price) : Rs.6.88-8.75 Lakh*,2018,Individual,17000,First Owner,Petrol,Manual,18.15,Engine1198 CC,Max Power82 bhp,Seats5,KUV100 NXT
58,58,Toyota,3.25,,2012,Dealer,54325,First Owner,Petrol,Manual,17.6,Engine1496 CC,Max Power88.73 bhp,Seats5,Etios G
59,59,Maruti,6.25,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,2016,Dealer,22000,First Owner,Petrol,Manual,15.4,Engine1590 CC,Max Power94 bhp,Seats5,Baleno Vxi
60,60,Maruti,6.0,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,2016,Individual,54000,First Owner,Petrol,Manual,20.85,Engine1197 CC,Max Power83.14 bhp,Seats5,Swift Dzire
61,61,Maruti,4.45,New Car (On-Road Price) : Rs.5.11-6.79 Lakh*,2019,Individual,10000,First Owner,Petrol,Manual,20.51,Engine998 CC,Max Power67.04 bhp,Seats5,Wagon R
62,62,Maruti,5.3,New Car (On-Road Price) : Rs.5.77-8.56 Lakh*,2019,Individual,20000,First Owner,Petrol,Manual,20.89,Engine1197 CC,Max Power81.80 bhp,Seats5,Ignis 1.2
63,63,Toyota,3.85,,2011,Dealer,61000,First Owner,Petrol,Manual,14.53,Engine1798 CC,Max Power138.1 bhp,Seats5,Corolla Altis
64,64,Maruti,4.1,New Car (On-Road Price) : Rs.5.97-6.04 Lakh*,2018,Trustmark Dealer,53237,First Owner,CNG,Manual,26.6,Engine998 CC,Max Power58.16 bhp,Seats5,Wagon R
65,65,Datsun,3.5,New Car (On-Road Price) : Rs.3.29-5.50 Lakh*,2018,Individual,27263,First Owner,Petrol,Manual,22.5,Engine999 CC,Max Power68 bhp,Seats5,RediGO Gold
66,66,Tata,2.65,,2014,Individual,90000,First Owner,Diesel,Manual,25.0,Engine1396 CC,Max Power69.01 bhp,Seats5,Indigo eLX
67,67,Hyundai,5.2,New Car (On-Road Price) : Rs.12.84-18.09 Lakh*,2014,Individual,110000,First Owner,Diesel,Manual,22.32,Engine1582 CC,Max Power126.3 bhp,Seats5,Verna 1.6
68,68,Hyundai,7.5,New Car (On-Road Price) : Rs.9.59-12.83 Lakh*,2016,Individual,70000,First Owner,Diesel,Manual,22.54,Engine1396 CC,Max Power88.73 bhp,Seats5,i20 Asta
69,69,Maruti,5.6,,2017,Individual,70000,First Owner,Diesel,Manual,26.59,Engine1248 CC,Max Power74 bhp,Seats5,Swift Dzire
70,70,Tata,2.0,,2014,Individual,190000,First Owner,Diesel,Manual,19.1,Engine1405 CC,Max Power70 bhp,Seats5,Vista TDI
71,71,Hyundai,6.0,,2017,Individual,40000,First Owner,Diesel,Manual,25.4,Engine1186 CC,Max Power73.97 bhp,Seats5,Xcent 1.2
72,72,Hyundai,6.55,New Car (On-Road Price) : Rs.8.03-13.41 Lakh*,2019,Dealer,39000,First Owner,Petrol,Manual,18.6,Engine1197 CC,Max Power81.83 bhp,Seats5,i20 1.2
73,73,Hyundai,1.25,,2007,Dealer,56000,First Owner,Petrol,Manual,17.8,Engine1086 CC,Max Power63 bhp,Seats5,Santro Xing
74,74,Toyota,4.25,,2009,Dealer,58000,First Owner,Petrol,Automatic,14.53,Engine1794 CC,Max Power138.1 bhp,Seats5,Corolla Altis
75,75,Maruti,2.2,,2017,Individual,40000,First Owner,Petrol,Manual,16.8,Engine796 CC,Max Power34.2 bhp,Seats8,Omni E
76,76,Hyundai,5.5,New Car (On-Road Price) : Rs.7.83-13.12 Lakh*,2018,Individual,34000,First Owner,Petrol,Manual,18.6,Engine1197 CC,Max Power81.83 bhp,Seats5,i20 1.2
77,77,Mahindra,11.5,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2017,Individual,50000,First Owner,Diesel,Manual,15.4,Engine1997 CC,Max Power120 bhp,Seats7,Scorpio 1.99
78,78,Volkswagen,5.0,,2012,Individual,77400,First Owner,Diesel,Manual,20.54,Engine1598 CC,Max Power103.6 bhp,Seats5,Vento Diesel
79,79,Mahindra,9.9,New Car (On-Road Price) : Rs.13.89-16.43 Lakh*,2019,Individual,36000,First Owner,Diesel,Manual,17.3,Engine1497 CC,Max Power121 bhp,Seats7,Marazzo M2
80,80,Hyundai,5.51,New Car (On-Road Price) : Rs.12.74-18.17 Lakh*,2013,Dealer,47876,First Owner,Diesel,Manual,25.0,Engine1493 CC,Max Power113.42 bhp,Seats5,Verna SX
